orchestra_id,orchestra,orchestra_count,date,title,text,link
134,セルビア日本音楽交流推進の会 3人のピアニストが奏でる音の輪,1,2019-11-04,セルビア日本音楽交流推進の会 3人のピアニストが奏でる音の輪,●セルビア日本音楽交流推進の会 3人のピアニストが奏でる音の輪2019年11月4日(月)目黒パーシモン小ホールLP DUO： 崩壊ーレオニード・シェイカのためのオスティナート （日本初演）  ライチコビッチ： 貴方のいないデュエット （日本初演）  ティルマン： Until We Meet Again （日本初演）  他,http://i-amabile.com/concert/serbia_society191104
237,梨本宮里ピアノデュオ Contemporary Piano Duo Concert「響鳴」,1,2019-11-02,梨本宮里ピアノデュオ Contemporary Piano Duo Concert「響鳴」,●梨本宮里ピアノデュオ Contemporary Piano Duo Concert「響鳴」2019年11月2日(土)公園通りクラシックスRaimo Kangro： Klimper Op.20 No.4 （日本初演）  川上統： 越前海月 (2019年改訂版) （世界初演）  他,http://i-amabile.com/concert/nashimiyapduo191102
161,浦和フィルハーモニー管弦楽団 ,1,2019-10-27,浦和フィルハーモニー管弦楽団 第６７回定期演奏会,●浦和フィルハーモニー管弦楽団 第６７回定期演奏会2019年10月27日(日)彩の国さいたま芸術劇場音楽ホール　佐藤 寿一（当団音楽監督）指揮フェルフルスト： 交響曲ホ短調 （日本初演）  他,http://i-amabile.com/concert/urawaphil67
284,筑波研究学園都市吹奏楽団 ,1,2019-10-27,筑波研究学園都市吹奏楽団 第33回定期演奏会,●筑波研究学園都市吹奏楽団 第33回定期演奏会2019年10月27日(日)茨城県つくば市ノバホール　野宮 敏明指揮ミゲル・アシンス・アルボ： バレエ （日本初演）  他,http://i-amabile.com/concert/tsukuba_toshibrass33
270,Otodémie / オトデミー 吹奏楽×Art音楽会『波紋... かさなり、交差する。』,1,2019-10-27,Otodémie / オトデミー 吹奏楽×Art音楽会『波紋... かさなり、交差する。』,●Otodémie / オトデミー 吹奏楽×Art音楽会『波紋... かさなり、交差する。』2019年10月27日(日)三鷹市公会堂 光のホール（東京都三鷹市野崎1-1-1）　小野杏奈指揮C.ドビュッシー： 海 - 3つの交響的素描(交響吹奏楽版) （日本初演）  樽屋雅徳： マードックからの最後の手紙(交響吹奏楽版) （世界初演）  他,http://i-amabile.com/concert/otodemie191027
178,ジュンス(p)×高瀬啓伍 TOUR 2019 of From BOOGIE to The FUTURE -FINAL-,1,2019-10-19,ジュンス(p)×高瀬啓伍 TOUR 2019 of From BOOGIE to The FUTURE -FINAL-,●ジュンス(p)×高瀬啓伍 TOUR 2019 of From BOOGIE to The FUTURE -FINAL-2019年10月19日(土)TheGLEE高瀬啓伍： Boogie Woogie Lives On （世界初演）  他,http://i-amabile.com/concert/junss_keigo191019
108,ハンガリーフェア実行委員会 ÁDÁM GYÖRGY Piano Recital 2019 Final,1,2019-10-15,ハンガリーフェア実行委員会 ÁDÁM GYÖRGY Piano Recital 2019 Final,●ハンガリーフェア実行委員会 ÁDÁM GYÖRGY Piano Recital 2019 Final2019年10月15日(火)Bunkamura オーチャードホールアダム・ジョージ： オリジナル楽曲 （日本初演）  他,http://i-amabile.com/concert/concert191015
150,あんさんぶるおとまつコンサート２０１９,1,2019-10-06,あんさんぶるおとまつコンサート２０１９,●あんさんぶるおとまつコンサート２０１９2019年10月6日(日)柏屋楽器 FORUM ホール（埼玉県さいたま市浦和区岸町7-1-9、JR「浦和」駅西口より徒歩約７分）池之上覚皇： 弦楽六重奏のための委嘱作品（仮称） （世界初演）  他,http://i-amabile.com/concert/otomatsu2019
141,トリオ・ラディアンス ファーストコンサート,1,2019-10-06,トリオ・ラディアンス ファーストコンサート,●トリオ・ラディアンス ファーストコンサート2019年10月6日(日)金沢21世紀美術館　シアター21マーレ： オーボエ・ファゴット・ピアノのための三重奏曲（日本初演） （日本初演）  他,http://i-amabile.com/concert/trioradiance191006
247,川口交響吹奏楽団 ,1,2019-09-29,川口交響吹奏楽団 第２３回定期演奏会,●川口交響吹奏楽団 第２３回定期演奏会2019年9月29日(日)川口総合文化センター・リリア メインホール(京浜東北線 川口駅西口より徒歩1分)　佐藤知之（VIVID BRASS TOKYO コルネット奏者）指揮編曲:小泉貴久： Latina Paradise～川響オリジナルアレンジ～ （世界初演）  他,http://i-amabile.com/concert/kawaguchi_sym_wind23
